name_song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres,cluster,cluster_name
Hortensia Ou La Fille Du Jazz Band,0.541,0.378,-15.167,0.0777,0.992,0.000102,0.131,0.733,140.419,vintage chanson,2,Chill / Soft
L'homme Du Milieu,0.726,0.363,-15.093,0.0892,0.987,0.0,0.12,0.798,88.384,vintage chanson,2,Chill / Soft
Les Absents Ont Toujours Tort,0.672,0.38,-14.833,0.212,0.994,0.0,0.426,0.911,120.162,vintage chanson,2,Chill / Soft
L'amour Excuse Tout,0.655,0.433,-15.925,0.409,0.989,0.0,0.335,0.768,92.762,vintage chanson,1,Rap / Spoken
Jacky Apprend Le Charleston,0.616,0.345,-13.57,0.225,0.995,0.0,0.0835,0.676,118.375,vintage chanson,2,Chill / Soft
Y S'retourne Sur Toutes Les Femmes,0.648,0.399,-11.759,0.315,0.995,0.0,0.145,0.879,129.826,vintage chanson,2,Chill / Soft
Veux Tu Que J'te Fasse Un Dessin,0.625,0.295,-15.43,0.245,0.834,0.818,0.0971,0.52,127.33,vintage chanson,2,Chill / Soft
Qu'est Ce Qu'il Faut Faire Pour Gagner Son Beefsteak,0.683,0.396,-14.554,0.392,0.828,0.00343,0.103,0.769,64.177,vintage chanson,1,Rap / Spoken
Le Genre De La Maison,0.7,0.518,-11.155,0.363,0.948,0.0,0.296,0.9,83.328,vintage chanson,1,Rap / Spoken
Il Ne Faut Pas Qu'une Femme Entende Des Choses Comme Ça,0.656,0.29,-13.385,0.145,0.908,0.0,0.466,0.8,127.505,vintage chanson,2,Chill / Soft
Les Moins De Cent Ans,0.636,0.365,-13.011,0.321,0.832,0.0,0.138,0.799,143.499,vintage chanson,2,Chill / Soft
Le Piéton,0.679,0.442,-12.63,0.466,0.903,0.0,0.128,0.764,112.733,vintage chanson,1,Rap / Spoken
On L'appelait Fleur Des Fortifs,0.644,0.297,-11.957,0.429,0.694,0.0,0.0783,0.764,98.965,vintage chanson,2,Chill / Soft
Oh Oh Il Travaille Du Chapeau,0.706,0.392,-14.077,0.739,0.837,0.0,0.126,0.796,75.143,vintage chanson,1,Rap / Spoken
Mes Parents Sont Venus Me Chercher,0.554,0.204,-14.764,0.0598,0.995,1.24e-06,0.153,0.62,97.337,vintage chanson,2,Chill / Soft
Antoine,0.537,0.153,-15.217,0.0898,0.994,0.0,0.419,0.558,129.134,vintage chanson,2,Chill / Soft
C'est Jeune Et Ca N'sait Pas,0.687,0.173,-14.726,0.0772,0.993,0.0,0.86,0.765,114.198,vintage chanson,1,Rap / Spoken
La chanson du trombone,0.526,0.151,-16.071,0.0696,0.995,0.0,0.376,0.484,81.288,vintage chanson,2,Chill / Soft
West End Blues,0.621,0.274,-12.094,0.0514,0.986,0.63,0.113,0.523,84.788,new orleans jazz,2,Chill / Soft
Muggles,0.586,0.113,-12.211,0.0607,0.989,0.276,0.181,0.484,85.235,new orleans jazz,2,Chill / Soft
Beau Koo Jack,0.733,0.418,-12.287,0.0765,0.949,0.792,0.229,0.961,121.289,new orleans jazz,2,Chill / Soft
Heebie Jeebies,0.63,0.232,-13.627,0.0569,0.995,0.00627,0.124,0.59,164.027,new orleans jazz,2,Chill / Soft
Gut Bucket Blues,0.602,0.216,-12.264,0.0676,0.996,0.524,0.0973,0.716,146.183,new orleans jazz,2,Chill / Soft
Skid-Dat-De-Dat,0.658,0.0841,-14.759,0.0496,0.994,0.767,0.088,0.504,121.494,new orleans jazz,2,Chill / Soft
King Of The Zulas,0.536,0.168,-15.701,0.114,0.994,0.121,0.29,0.554,169.061,new orleans jazz,2,Chill / Soft
Skip The Gutter,0.653,0.131,-19.164,0.0628,0.977,0.733,0.6,0.593,124.1,new orleans jazz,2,Chill / Soft
Basin Street Blues - rec. 1928,0.561,0.353,-9.617,0.0538,0.971,0.13,0.922,0.514,107.711,new orleans jazz,2,Chill / Soft
Cornet Chop Suey,0.558,0.19,-14.621,0.0869,0.995,0.572,0.113,0.692,170.066,new orleans jazz,2,Chill / Soft
Tight Like This,0.726,0.254,-10.298,0.124,0.982,0.33,0.0398,0.456,110.86,new orleans jazz,2,Chill / Soft
Two Deuces,0.713,0.294,-10.672,0.073,0.963,0.348,0.387,0.558,85.299,new orleans jazz,2,Chill / Soft
Basin Street Blues - rec. 1928,0.604,0.279,-11.588,0.0446,0.986,0.237,0.275,0.594,123.271,new orleans jazz,2,Chill / Soft
Savoy Blues,0.811,0.151,-14.297,0.0823,0.986,0.869,0.0965,0.544,127.944,new orleans jazz,2,Chill / Soft
Big Butter And Egg Man,0.699,0.273,-11.624,0.0886,0.995,0.367,0.108,0.895,102.375,new orleans jazz,2,Chill / Soft
Don't Forget To Mess Around,0.634,0.335,-11.135,0.0646,0.992,0.0124,0.0919,0.774,101.383,new orleans jazz,2,Chill / Soft
Heebie Jeebies,0.668,0.321,-10.663,0.0916,0.983,2.67e-05,0.141,0.592,164.459,new orleans jazz,2,Chill / Soft
"Come Back, Sweet Papa",0.775,0.302,-10.082,0.127,0.916,0.553,0.0369,0.924,99.518,new orleans jazz,2,Chill / Soft
Gut Bucket Blues,0.573,0.306,-9.597,0.0513,0.988,3.19e-05,0.0786,0.738,146.726,new orleans jazz,2,Chill / Soft
Who'sit,0.727,0.347,-10.413,0.0393,0.993,0.696,0.0718,0.868,106.336,new orleans jazz,2,Chill / Soft
You're Next,0.626,0.227,-11.831,0.0581,0.985,0.0212,0.119,0.494,126.859,new orleans jazz,2,Chill / Soft
You're Next,0.625,0.227,-11.828,0.0584,0.985,0.0216,0.119,0.474,126.859,new orleans jazz,2,Chill / Soft
Muskrat Ramble,0.668,0.342,-10.164,0.213,0.982,0.616,0.071,0.849,183.842,new orleans jazz,2,Chill / Soft
Who'sit,0.727,0.347,-10.413,0.0393,0.993,0.696,0.0718,0.868,106.336,new orleans jazz,2,Chill / Soft
My Heart,0.696,0.463,-7.236,0.097,0.985,0.144,0.089,0.825,97.808,new orleans jazz,2,Chill / Soft
Cornet Chop Suey,0.628,0.278,-9.357,0.144,0.994,0.135,0.0617,0.77,97.268,new orleans jazz,2,Chill / Soft
Heebie Jeebies,0.668,0.321,-10.663,0.0916,0.983,2.67e-05,0.141,0.592,164.459,new orleans jazz,2,Chill / Soft
Don't Forget To Mess Around,0.634,0.335,-11.135,0.0646,0.992,0.0124,0.0919,0.774,101.381,new orleans jazz,2,Chill / Soft
Georgia Grind,0.733,0.209,-14.649,0.0603,0.908,0.0,0.178,0.7,140.38,new orleans jazz,2,Chill / Soft
"Come Back, Sweet Papa",0.775,0.302,-10.082,0.125,0.916,0.538,0.0369,0.925,99.515,new orleans jazz,2,Chill / Soft
Oriental Strut,0.54,0.254,-11.859,0.0823,0.995,0.493,0.175,0.473,183.916,new orleans jazz,2,Chill / Soft
Georgia Grind,0.732,0.209,-14.649,0.0596,0.908,0.0,0.178,0.696,140.423,new orleans jazz,2,Chill / Soft
Gut Bucket Blues,0.618,0.141,-17.2,0.113,0.996,0.91,0.115,0.759,138.691,new orleans jazz,2,Chill / Soft
Droppin' Shucks,0.579,0.295,-9.23,0.132,0.993,0.145,0.24,0.767,176.628,new orleans jazz,2,Chill / Soft
West End Blues,0.595,0.191,-13.623,0.0553,0.971,0.533,0.0881,0.338,83.579,new orleans jazz,2,Chill / Soft
Yes! I'm in the Barrel,0.729,0.277,-9.915,0.0859,0.995,0.0015,0.107,0.746,155.109,new orleans jazz,2,Chill / Soft
You Made Me Love You,0.54,0.323,-10.095,0.174,0.994,0.0506,0.111,0.698,196.428,new orleans jazz,2,Chill / Soft
Lonesome Blues,0.593,0.191,-12.792,0.0404,0.987,0.0,0.093,0.318,83.735,new orleans jazz,2,Chill / Soft
Irish Black Bottom,0.725,0.355,-13.116,0.0734,0.873,4.24e-06,0.122,0.917,99.223,new orleans jazz,2,Chill / Soft
Big Fat Ma and Skinny Pa,0.593,0.343,-10.829,0.29,0.995,0.15,0.675,0.769,172.958,new orleans jazz,1,Rap / Spoken
Put 'Em Down Blues,0.691,0.404,-10.591,0.0938,0.922,0.0135,0.175,0.87,101.211,new orleans jazz,2,Chill / Soft
Muskrat Ramble,0.673,0.342,-10.164,0.201,0.982,0.616,0.071,0.844,184.182,new orleans jazz,2,Chill / Soft
Struttin' with Some Barbecue - 78 rpm Version,0.732,0.327,-7.941,0.125,0.932,0.863,0.0481,0.885,95.97,new orleans jazz,2,Chill / Soft
Big Fat Ma And Skinny Pa,0.593,0.343,-10.829,0.29,0.995,0.15,0.675,0.769,172.958,new orleans jazz,1,Rap / Spoken
West End Blues,0.595,0.191,-13.623,0.0553,0.971,0.533,0.0881,0.338,83.579,new orleans jazz,2,Chill / Soft
Skid-Dat-De-Dat,0.668,0.151,-13.342,0.0482,0.968,0.0224,0.0851,0.609,122.072,new orleans jazz,2,Chill / Soft
Don't Jive Me,0.615,0.354,-12.111,0.0781,0.93,0.805,0.296,0.936,175.154,new orleans jazz,2,Chill / Soft
Cornet Chop Suey - in Eb,0.56,0.286,-9.316,0.149,0.995,0.59,0.134,0.725,170.478,new orleans jazz,2,Chill / Soft
Georgia Grind,0.816,0.111,-16.78,0.0789,0.996,0.136,0.36,0.564,133.454,new orleans jazz,2,Chill / Soft
Skip the Gutter,0.664,0.175,-14.673,0.0851,0.944,0.734,0.107,0.539,121.919,new orleans jazz,2,Chill / Soft
Irish Black Bottom,0.728,0.355,-13.116,0.0728,0.872,4.23e-06,0.122,0.919,99.269,new orleans jazz,2,Chill / Soft
My Heart,0.696,0.463,-7.236,0.097,0.985,0.144,0.089,0.825,97.808,new orleans jazz,2,Chill / Soft
The Last Time,0.628,0.267,-10.468,0.0846,0.93,0.03,0.138,0.839,157.093,new orleans jazz,2,Chill / Soft
Once In a While,0.769,0.35,-8.633,0.0644,0.862,0.837,0.0439,0.73,100.933,new orleans jazz,2,Chill / Soft
Who'sit,0.716,0.173,-16.527,0.0546,0.996,0.917,0.118,0.645,98.769,new orleans jazz,2,Chill / Soft
Heebie Jeebies,0.669,0.321,-10.675,0.104,0.983,2.39e-05,0.144,0.598,164.499,new orleans jazz,2,Chill / Soft
Sugar Foot Strut,0.615,0.364,-11.64,0.44,0.96,0.114,0.0817,0.894,182.964,new orleans jazz,2,Chill / Soft
I'm Gonna Gitcha,0.552,0.354,-11.332,0.12,0.949,2.5e-05,0.162,0.904,202.05,new orleans jazz,2,Chill / Soft
Basin Street Blues,0.581,0.137,-14.072,0.049,0.825,4.63e-05,0.872,0.361,109.719,new orleans jazz,2,Chill / Soft
Who'sit,0.727,0.347,-10.413,0.0393,0.993,0.696,0.0718,0.868,106.336,new orleans jazz,2,Chill / Soft
"Come Back, Sweet Papa",0.644,0.123,-18.648,0.394,0.995,0.858,0.218,0.787,189.67,new orleans jazz,2,Chill / Soft
Basin Street Blues,0.581,0.137,-14.072,0.0489,0.825,4.65e-05,0.872,0.361,109.721,new orleans jazz,2,Chill / Soft
Struttin' With Some Barbecue - 78 rpm Version,0.731,0.327,-7.941,0.125,0.932,0.863,0.0481,0.884,95.973,new orleans jazz,2,Chill / Soft
Hotter Than That,0.794,0.431,-9.439,0.0638,0.885,0.444,0.22,0.927,107.707,new orleans jazz,0,Party / Energetic
Muskrat Ramble,0.668,0.342,-10.164,0.213,0.982,0.616,0.071,0.849,183.842,new orleans jazz,2,Chill / Soft
I'm Gonna Gitcha,0.568,0.156,-16.906,0.317,0.996,0.734,0.209,0.8,186.689,new orleans jazz,2,Chill / Soft
My Heart,0.696,0.464,-7.236,0.0964,0.985,0.145,0.0904,0.825,97.808,new orleans jazz,2,Chill / Soft
Cornet Chop Suey - in Eb,0.559,0.286,-9.316,0.15,0.995,0.583,0.134,0.725,170.76,new orleans jazz,2,Chill / Soft
Gut Bucket Blues,0.574,0.308,-9.597,0.0509,0.988,2.4e-05,0.0786,0.739,146.726,new orleans jazz,2,Chill / Soft
Savoy Blues,0.795,0.292,-9.98,0.047,0.952,0.743,0.072,0.729,128.495,new orleans jazz,2,Chill / Soft
Heebie Jeebies,0.686,0.127,-17.711,0.0818,0.996,0.372,0.112,0.592,156.359,new orleans jazz,2,Chill / Soft
Gut Bucket Blues,0.573,0.306,-9.597,0.0513,0.988,3.19e-05,0.0786,0.738,146.726,new orleans jazz,2,Chill / Soft
I'm Gonna Gitcha,0.552,0.354,-11.332,0.12,0.949,2.51e-05,0.162,0.904,201.978,new orleans jazz,2,Chill / Soft
Georgia Grind,0.733,0.209,-14.649,0.0603,0.908,0.0,0.178,0.7,140.38,new orleans jazz,2,Chill / Soft
Big Butter And Egg Man,0.65,0.297,-10.638,0.0856,0.993,0.0394,0.166,0.871,99.257,new orleans jazz,2,Chill / Soft
Two Deuces,0.713,0.207,-12.651,0.115,0.941,0.218,0.0621,0.47,83.828,new orleans jazz,2,Chill / Soft
Don't Jive Me,0.615,0.354,-12.111,0.0778,0.931,0.796,0.296,0.935,175.153,new orleans jazz,2,Chill / Soft
You Made Me Love You,0.717,0.322,-10.095,0.0833,0.994,0.0506,0.111,0.687,97.95,new orleans jazz,2,Chill / Soft
I'm Not Rough,0.633,0.388,-8.651,0.162,0.811,0.408,0.114,0.539,114.687,new orleans jazz,2,Chill / Soft
Sweet Little Papa,0.796,0.344,-10.067,0.0952,0.988,0.844,0.106,0.889,94.343,new orleans jazz,2,Chill / Soft
Ory's Creole Trombone,0.704,0.518,-8.33,0.112,0.96,0.749,0.762,0.961,102.646,new orleans jazz,1,Rap / Spoken
A Monday Date,0.805,0.311,-12.564,0.478,0.962,0.00223,0.151,0.697,117.439,new orleans jazz,1,Rap / Spoken
Fireworks,0.748,0.361,-11.349,0.1,0.98,0.788,0.0581,0.876,117.609,new orleans jazz,2,Chill / Soft
Big Butter And Egg Man,0.65,0.297,-10.638,0.0856,0.993,0.0394,0.166,0.871,99.257,new orleans jazz,2,Chill / Soft
Savoy Blues,0.791,0.285,-9.957,0.0466,0.953,0.644,0.062,0.713,128.434,new orleans jazz,2,Chill / Soft
Two Deuces,0.713,0.207,-12.651,0.115,0.941,0.218,0.0621,0.47,83.828,new orleans jazz,2,Chill / Soft
Fireworks,0.749,0.361,-11.349,0.101,0.98,0.792,0.0581,0.876,117.609,new orleans jazz,2,Chill / Soft
Sunset Cafe Stomp,0.819,0.371,-9.272,0.0855,0.992,0.0318,0.0987,0.947,106.524,new orleans jazz,0,Party / Energetic
Muskrat Ramble,0.686,0.216,-14.856,0.0959,0.996,0.901,0.0595,0.882,174.4,new orleans jazz,2,Chill / Soft
You Made Me Love You,0.54,0.323,-10.095,0.174,0.994,0.0506,0.111,0.698,196.428,new orleans jazz,2,Chill / Soft
Jazz Lips,0.807,0.349,-12.433,0.0906,0.936,0.218,0.154,0.962,107.182,new orleans jazz,2,Chill / Soft
Got No Blues,0.686,0.269,-9.795,0.308,0.918,0.793,0.0702,0.831,143.918,new orleans jazz,2,Chill / Soft
Lonesome Blues,0.593,0.191,-12.792,0.0404,0.987,0.0,0.093,0.318,83.735,new orleans jazz,2,Chill / Soft
A Monday Date,0.805,0.311,-12.564,0.478,0.962,0.00223,0.151,0.697,117.439,new orleans jazz,1,Rap / Spoken
Lonesome Blues,0.581,0.191,-12.792,0.04,0.987,0.0,0.093,0.317,83.488,new orleans jazz,2,Chill / Soft
Jazz Lips,0.807,0.349,-12.433,0.0906,0.936,0.218,0.154,0.962,107.182,new orleans jazz,2,Chill / Soft
Ory's Creole Trombone,0.709,0.52,-8.295,0.12,0.956,0.786,0.769,0.961,101.64,new orleans jazz,1,Rap / Spoken
Once In A While,0.543,0.35,-8.597,0.117,0.858,0.859,0.042,0.747,201.651,new orleans jazz,2,Chill / Soft
You're Next,0.626,0.227,-11.831,0.0581,0.985,0.0212,0.119,0.494,126.859,new orleans jazz,2,Chill / Soft
The Last Time,0.628,0.267,-10.468,0.0846,0.93,0.0261,0.138,0.839,157.093,new orleans jazz,2,Chill / Soft
Skip The Gutter,0.664,0.175,-14.673,0.0851,0.944,0.734,0.107,0.539,121.919,new orleans jazz,2,Chill / Soft
Droppin' Shucks,0.613,0.114,-17.569,0.184,0.996,0.829,0.247,0.629,163.646,new orleans jazz,2,Chill / Soft
Sweet Little Papa,0.796,0.344,-10.067,0.0952,0.988,0.844,0.106,0.889,94.343,new orleans jazz,2,Chill / Soft
Oriental Strut,0.54,0.254,-11.859,0.0823,0.995,0.496,0.174,0.473,183.916,new orleans jazz,2,Chill / Soft
Cornet Chop Suey - in Eb,0.554,0.286,-9.324,0.159,0.995,0.494,0.127,0.721,175.793,new orleans jazz,2,Chill / Soft
Two Deuces,0.717,0.207,-12.651,0.11,0.941,0.218,0.0621,0.47,84.605,new orleans jazz,2,Chill / Soft
Put 'Em Down Blues,0.69,0.408,-10.568,0.112,0.925,0.0193,0.186,0.876,102.519,new orleans jazz,2,Chill / Soft
Irish Black Bottom,0.728,0.355,-13.116,0.0728,0.872,4.23e-06,0.122,0.919,99.269,new orleans jazz,2,Chill / Soft
Yes! I'm in the Barrel,0.73,0.277,-9.915,0.0858,0.995,0.0015,0.107,0.746,155.128,new orleans jazz,2,Chill / Soft
The King of the Zulus,0.596,0.258,-9.763,0.214,0.994,0.445,0.409,0.57,168.699,new orleans jazz,2,Chill / Soft
My Heart,0.625,0.366,-13.557,0.056,0.995,0.741,0.0728,0.939,94.231,new orleans jazz,2,Chill / Soft
Don't Forget To Mess Around,0.634,0.335,-11.135,0.0646,0.992,0.0124,0.0919,0.774,101.381,new orleans jazz,2,Chill / Soft
Big Fat Ma and Skinny Pa,0.591,0.149,-18.048,0.195,0.995,0.846,0.319,0.703,160.728,new orleans jazz,2,Chill / Soft
I'm Gonna Gitcha,0.552,0.354,-11.332,0.12,0.949,2.51e-05,0.162,0.904,201.978,new orleans jazz,2,Chill / Soft
Struttin' with Some Barbecue - 78 rpm Version,0.748,0.325,-7.899,0.141,0.934,0.899,0.0497,0.887,95.987,new orleans jazz,2,Chill / Soft
Savoy Blues,0.799,0.291,-9.98,0.0465,0.952,0.745,0.072,0.727,128.594,new orleans jazz,2,Chill / Soft
Sugar Foot Strut,0.615,0.364,-11.639,0.439,0.96,0.113,0.0817,0.894,182.977,new orleans jazz,2,Chill / Soft
Basin Street Blues,0.581,0.137,-14.072,0.0489,0.825,4.65e-05,0.872,0.361,109.721,new orleans jazz,2,Chill / Soft
Fireworks,0.748,0.361,-11.349,0.1,0.98,0.788,0.0581,0.876,117.609,new orleans jazz,2,Chill / Soft
The Last Time,0.632,0.264,-10.455,0.0893,0.928,0.0326,0.139,0.829,158.244,new orleans jazz,2,Chill / Soft
Skip the Gutter,0.664,0.176,-14.673,0.0848,0.944,0.735,0.107,0.54,121.929,new orleans jazz,2,Chill / Soft
West End Blues,0.595,0.189,-13.621,0.056,0.971,0.513,0.0881,0.338,83.579,new orleans jazz,2,Chill / Soft
You're Next,0.622,0.1,-18.025,0.0748,0.996,0.692,0.0858,0.452,119.484,new orleans jazz,2,Chill / Soft
Sunset Cafe Stomp,0.815,0.371,-9.272,0.0837,0.992,0.0328,0.0987,0.947,106.508,new orleans jazz,0,Party / Energetic
Cornet Chop Suey,0.628,0.278,-9.357,0.144,0.994,0.135,0.0617,0.77,97.268,new orleans jazz,2,Chill / Soft
Yes! I'm in the Barrel,0.751,0.133,-16.975,0.0899,0.996,0.139,0.128,0.765,147.306,new orleans jazz,2,Chill / Soft
The King of the Zulus,0.692,0.0833,-18.284,0.115,0.995,0.605,0.197,0.492,78.869,new orleans jazz,2,Chill / Soft
Yes! I'm In The Barrel,0.729,0.277,-9.915,0.0859,0.995,0.0015,0.107,0.746,155.109,new orleans jazz,2,Chill / Soft
Big Butter And Egg Man,0.65,0.297,-10.638,0.0855,0.993,0.0391,0.166,0.871,99.256,new orleans jazz,2,Chill / Soft
Sweet Little Papa,0.796,0.344,-10.067,0.0952,0.988,0.844,0.106,0.889,94.343,new orleans jazz,2,Chill / Soft
King Of The Zulus,0.595,0.258,-9.763,0.214,0.994,0.445,0.409,0.571,168.996,new orleans jazz,2,Chill / Soft
Got No Blues,0.686,0.271,-9.884,0.301,0.921,0.83,0.0696,0.841,142.565,new orleans jazz,2,Chill / Soft
Don't Forget To Mess Around,0.562,0.173,-15.913,0.254,0.996,0.78,0.0872,0.713,184.848,new orleans jazz,2,Chill / Soft
Jazz Lips,0.807,0.349,-12.433,0.0907,0.937,0.221,0.154,0.962,107.181,new orleans jazz,2,Chill / Soft
Hotter Than That,0.794,0.426,-9.428,0.0633,0.891,0.279,0.233,0.92,108.781,new orleans jazz,0,Party / Energetic
Sunset Cafe Stomp,0.819,0.371,-9.272,0.0855,0.992,0.0318,0.0987,0.947,106.524,new orleans jazz,0,Party / Energetic
Cornet Chop Suey,0.621,0.278,-9.357,0.144,0.994,0.137,0.0616,0.769,95.459,new orleans jazz,2,Chill / Soft
A Monday Date,0.804,0.312,-12.564,0.476,0.963,0.00262,0.151,0.716,117.446,new orleans jazz,1,Rap / Spoken
Once In a While,0.749,0.35,-8.597,0.0636,0.857,0.851,0.042,0.738,100.835,new orleans jazz,2,Chill / Soft
The King of the Zulus,0.595,0.258,-9.763,0.214,0.994,0.445,0.409,0.571,168.996,new orleans jazz,2,Chill / Soft
Droppin' Shucks,0.579,0.295,-9.23,0.132,0.993,0.145,0.24,0.767,176.628,new orleans jazz,2,Chill / Soft
Big Fat Ma and Skinny Pa,0.593,0.343,-10.829,0.291,0.995,0.15,0.675,0.769,172.535,new orleans jazz,1,Rap / Spoken
